iter	Logloss
0	0.6530645208
1	0.6157803646
2	0.5823766354
3	0.5522651458
4	0.5257855208
5	0.4999801667
6	0.4766538229
7	0.4549688958
8	0.4343849687
9	0.4171642708
10	0.3997651771
11	0.3849055521
12	0.3708671562
13	0.3575409479
14	0.3458768958
15	0.3345515417
16	0.3244160938
17	0.3149359844
18	0.3062908542
19	0.2983678333
20	0.2911884375
21	0.2843593385
22	0.2780229167
23	0.2723357083
24	0.26683125
25	0.2619228646
26	0.2573782396
27	0.2530332813
28	0.2491223698
29	0.245405349
30	0.2415880104
31	0.2382878281
32	0.2352370104
33	0.2323473125
34	0.2295643229
35	0.2270683646
36	0.2247140365
37	0.2223625938
38	0.2202752188
39	0.2181931562
40	0.2162327552
41	0.2144565156
42	0.2126919792
43	0.210931474
44	0.2093709479
45	0.2080528229
46	0.2067613333
47	0.2054288177
48	0.2042372188
49	0.2031905365
50	0.2020749427
51	0.2009028229
52	0.1996663438
53	0.1987121771
54	0.1979199323
55	0.1970230729
56	0.1961484896
57	0.195401125
58	0.1945608073
59	0.1937213125
60	0.1930539844
61	0.1923055625
62	0.1916573177
63	0.1908322552
64	0.1901346771
65	0.1895102812
66	0.1889110208
67	0.1882245521
68	0.1876092188
69	0.1869717865
70	0.1865176354
71	0.1859915781
72	0.185609974
73	0.1851795365
74	0.1847820729
75	0.1842832396
76	0.1838196146
77	0.183336875
78	0.1829545677
79	0.1825073021
80	0.1821878437
81	0.1818127969
82	0.1814877083
83	0.1810834375
84	0.1807515365
85	0.1803866094
86	0.1801086562
87	0.1797323958
88	0.1794273958
89	0.1791085208
90	0.1788292865
91	0.1785292708
92	0.1782077187
93	0.1779803229
94	0.1777719063
95	0.1775070885
96	0.1772868177
97	0.1770670885
98	0.1768130677
99	0.1765459219
100	0.176297125
101	0.1760633125
102	0.1758196406
103	0.1756022969
104	0.1753177135
105	0.1750882214
106	0.1749299687
107	0.1747046719
108	0.1744028568
109	0.1741940729
110	0.1740172734
111	0.1737925807
112	0.1735411927
113	0.1733662135
114	0.1731550052
115	0.1729507995
116	0.1727532031
117	0.1725709531
118	0.1723791406
119	0.1721664818
120	0.1719700677
121	0.1718187448
122	0.1716237812
123	0.1714261745
124	0.1712378255
125	0.1711350573
126	0.170965875
127	0.1707603464
128	0.1706287995
129	0.1705080312
130	0.1703691302
131	0.1702166875
132	0.1700474583
133	0.1699344141
134	0.169797362
135	0.1696327031
136	0.1694686562
137	0.1692664792
138	0.1690793437
139	0.1689228125
140	0.1687278411
141	0.168587487
142	0.1685051953
143	0.1684074271
144	0.1682655026
145	0.1681077109
146	0.1680061771
147	0.1678629896
148	0.1677690651
149	0.1676774792
150	0.1675400911
151	0.167439375
152	0.167304375
153	0.1671879661
154	0.1671144479
155	0.1670369063
156	0.1668610078
157	0.1667490495
158	0.166672625
159	0.1665206563
160	0.1664059219
161	0.1662694193
162	0.1661198281
163	0.1660067214
164	0.1659205729
165	0.1658499427
166	0.1657550703
167	0.1656353125
168	0.1655403698
169	0.1654648568
170	0.1653335026
171	0.1652475521
172	0.1651187266
173	0.1650042812
174	0.1648916979
175	0.164802349
176	0.1647219505
177	0.1646375599
178	0.1645513437
179	0.1644659427
180	0.1643935833
181	0.164306625
182	0.1642316042
183	0.1641587812
184	0.1640903177
185	0.1640169661
186	0.1639399818
187	0.16383125
188	0.163766724
189	0.163660888
190	0.1636043203
191	0.1635388828
192	0.1634504609
193	0.1633499063
194	0.163298875
195	0.1631909453
