iter	Passed	Remaining
0	272	272219
1	482	240540
2	677	225001
3	875	217994
4	1056	210324
5	1261	208910
6	1487	211077
7	1698	210643
8	1895	208713
9	2086	206575
10	2305	207255
11	2495	205444
12	2710	205775
13	2919	205610
14	3114	204526
15	3345	205728
16	3546	205081
17	3757	204967
18	3946	203747
19	4150	203371
20	4337	202198
21	4534	201568
22	4756	202051
23	4961	201753
24	5154	201009
25	5346	200306
26	5545	199833
27	5745	199464
28	5944	199033
29	6143	198629
30	6366	198998
31	6554	198279
32	6745	197677
33	6948	197422
34	7160	197420
35	7351	196858
36	7554	196632
37	7769	196689
38	7967	196338
39	8183	196394
40	8389	196231
41	8585	195822
42	8802	195897
43	9017	195918
44	9235	195996
45	9416	195290
46	9601	194692
47	9799	194349
48	9981	193713
49	10171	193258
50	10374	193039
51	10571	192733
52	10794	192871
53	11001	192727
54	11213	192671
55	11398	192139
56	11624	192319
57	11810	191821
58	12015	191641
59	12249	191905
60	12456	191745
61	12649	191376
62	12843	191019
63	13063	191052
64	13297	191274
65	13500	191056
66	13703	190825
67	13928	190898
68	14172	191228
69	14379	191040
70	14591	190918
71	14814	190946
72	15018	190719
73	15324	191762
74	15572	192061
75	15785	191912
76	16026	192111
77	16234	191894
78	16429	191539
79	16659	191580
80	16854	191222
81	17077	191180
82	17284	190965
83	17483	190658
84	17682	190350
85	17894	190178
86	18106	190016
87	18315	189814
88	18542	189804
89	18743	189517
90	18961	189410
91	19197	189471
92	19457	189765
93	19686	189746
94	19889	189474
95	20138	189636
96	20411	190015
97	20689	190424
98	20922	190420
99	21149	190349
100	21363	190155
101	21566	189868
102	21771	189601
103	21972	189302
104	22207	189295
105	22401	188936
106	22626	188837
107	22844	188676
108	23067	188558
109	23278	188346
110	23486	188104
111	23715	188028
112	23928	187829
113	24133	187567
114	24350	187389
115	24547	187066
116	24774	186976
117	24973	186667
118	25210	186639
119	25400	186273
120	25695	186667
121	26069	187614
122	26307	187577
123	26524	187383
124	26748	187241
125	26947	186919
126	27144	186594
127	27356	186365
128	27555	186052
129	27732	185592
130	27925	185248
131	28109	184844
132	28337	184729
133	28535	184416
134	28750	184214
135	28980	184113
136	29220	184070
137	29442	183906
138	29676	183823
139	29893	183633
140	30109	183430
141	30346	183358
142	30542	183038
143	30749	182791
144	30956	182535
145	31147	182194
146	31365	182006
147	31586	181835
148	31784	181531
149	31993	181296
150	32190	180994
151	32400	180762
152	32597	180459
153	32814	180267
154	33001	179909
155	33210	179679
156	33433	179518
157	33644	179295
158	33848	179036
159	34070	178871
160	34262	178547
161	34450	178208
162	34668	178022
163	34872	177762
164	35077	177514
165	35277	177238
166	35493	177042
167	35703	176815
168	35880	176431
169	36101	176260
170	36306	176013
171	36518	175800
172	36721	175539
173	36939	175357
174	37143	175104
175	37350	174869
176	37559	174642
177	37815	174632
178	38274	175551
179	38548	175607
180	38789	175515
181	39119	175823
182	39438	176073
183	39665	175908
184	39861	175607
185	40080	175406
186	40284	175142
187	40480	174840
188	40687	174590
189	40903	174379
190	41129	174209
191	41347	174005
192	41571	173824
193	41776	173564
194	41965	173243
195	42227	173219
196	42427	172942
197	42626	172657
198	42818	172348
199	43030	172120
200	43229	171842
201	43449	171645
202	43667	171444
203	43881	171225
204	44067	170897
205	44289	170707
206	44503	170490
207	44696	170191
208	44929	170046
209	45150	169852
210	45423	169852
211	45632	169613
212	45841	169378
213	46041	169106
214	46246	168853
215	46457	168625
216	46637	168282
217	46876	168154
218	47073	167875
219	47309	167733
220	47513	167478
221	47692	167139
222	47925	166986
223	48137	166760
224	48370	166608
225	48561	166312
226	48760	166042
227	48953	165755
228	49176	165567
229	49404	165398
230	49602	165126
231	49809	164887
232	50004	164605
233	50205	164346
234	50418	164127
235	50632	163911
236	50833	163653
237	51038	163408
238	51260	163220
239	51487	163043
240	51701	162828
241	51916	162613
242	52111	162340
243	52345	162184
244	52549	161938
245	52745	161666
246	52926	161351
247	53142	161142
248	53318	160811
249	53539	160617
250	53729	160331
251	53927	160071
252	54150	159884
253	54343	159606
254	54535	159330
255	54743	159097
256	54950	158864
257	55151	158615
258	55415	158543
259	55641	158363
260	55854	158146
261	56072	157945
262	56318	157820
263	56512	157550
264	56701	157267
265	56905	157024
266	57120	156815
267	57394	156763
268	57595	156513
269	57787	156241
270	57986	155986
271	58193	155752
272	58407	155538
273	58613	155304
274	58802	155025
275	58995	154756
276	59194	154504
277	59420	154321
278	59615	154060
279	59833	153856
280	60029	153598
281	60249	153400
282	60456	153171
283	60681	152986
284	60912	152816
285	61099	152533
286	61311	152318
287	61511	152069
288	61706	151811
289	61922	151602
290	62149	151422
291	62348	151174
292	62567	150973
293	62764	150720
294	62981	150515
295	63226	150375
296	63420	150116
297	63628	149889
298	63827	149643
299	64037	149421
300	64245	149195
301	64470	149007
302	64658	148736
303	64865	148508
304	65052	148235
305	65225	147929
306	65421	147676
307	65649	147498
308	65851	147259
309	66050	147015
310	66270	146817
311	66486	146612
312	66685	146368
313	66902	146162
314	67096	145907
315	67319	145716
316	67542	145524
317	67718	145232
318	67908	144971
319	68176	144875
320	68516	144930
321	68745	144749
322	68957	144533
323	69175	144329
324	69403	144146
325	69593	143883
326	69790	143636
327	69974	143361
328	70189	143152
329	70389	142912
330	70610	142714
331	70834	142522
332	71036	142286
333	71240	142055
334	71416	141767
335	71626	141547
336	71840	141336
337	72054	141124
338	72255	140886
339	72483	140702
340	72699	140496
341	72885	140229
342	73131	140079
343	73315	139810
344	73516	139574
345	73723	139350
346	73913	139093
347	74122	138873
348	74318	138628
349	74540	138432
350	74732	138180
351	74933	137945
352	75131	137704
353	75366	137533
354	75611	137379
355	75824	137166
356	76009	136902
357	76193	136637
358	76400	136413
359	76608	136193
360	76820	135978
361	77039	135776
362	77268	135593
363	77498	135410
364	77690	135159
365	77880	134907
366	78085	134681
367	78287	134450
368	78487	134215
369	78706	134013
370	78879	133733
371	79087	133513
372	79341	133369
373	79599	133233
374	79803	133006
375	80020	132799
376	80357	132792
377	80623	132665
378	80851	132477
379	81072	132276
380	81268	132035
381	81469	131801
382	81659	131550
383	81857	131312
384	82040	131051
385	82246	130827
386	82443	130588
387	82660	130382
388	82870	130164
389	83077	129941
390	83296	129737
391	83495	129502
392	83686	129255
393	83898	129041
394	84105	128820
395	84280	128549
396	84508	128358
397	84752	128192
398	84971	127989
399	85171	127757
400	85346	127487
401	85553	127266
402	85757	127040
403	85926	126762
404	86142	126554
405	86364	126356
406	86568	126130
407	86732	125846
408	86948	125639
409	87130	125382
410	87326	125147
411	87554	124956
412	87780	124762
413	87984	124537
414	88199	124330
415	88386	124081
416	88608	123882
417	88810	123654
418	89022	123441
419	89216	123204
420	89429	122992
421	89626	122759
422	89859	122574
423	90082	122375
424	90289	122156
425	90516	121964
426	90692	121701
427	90913	121501
428	91139	121307
429	91336	121074
430	91609	120940
431	92021	120990
432	92214	120752
433	92403	120508
434	92624	120305
435	92846	120104
436	93065	119899
437	93261	119664
438	93452	119423
439	93646	119186
440	93875	118994
441	94077	118768
442	94255	118510
443	94465	118294
444	94656	118054
445	94842	117809
446	95053	117594
447	95273	117390
448	95512	117209
449	95740	117016
450	95948	116797
451	96147	116567
452	96361	116356
453	96563	116130
454	96767	115907
455	96942	115650
456	97152	115434
457	97368	115226
458	97594	115030
459	97831	114845
460	98175	114786
461	98435	114628
462	98649	114416
463	98983	114342
464	99398	114361
465	99618	114155
466	99842	113952
467	100063	113747
468	100242	113494
469	100459	113283
470	100676	113073
471	100862	112829
472	101078	112618
473	101317	112432
474	101562	112253
475	101768	112031
476	101954	111786
477	102171	111576
478	102380	111357
479	102603	111153
480	102808	110930
481	103023	110718
482	103227	110493
483	103439	110278
484	103648	110059
485	103868	109852
486	104088	109645
487	104307	109437
488	104559	109263
489	104798	109075
490	104975	108824
491	105193	108614
492	105403	108397
493	105612	108177
494	105797	107934
495	106024	107734
496	106233	107515
497	106438	107293
498	106670	107098
499	107030	107030
500	107473	107044
501	107792	106933
502	108045	106756
503	108258	106539
504	108505	106357
505	108733	106154
506	108942	105934
507	109139	105702
508	109322	105456
509	109536	105241
510	109746	105021
511	109981	104825
512	110165	104581
513	110365	104353
514	110580	104138
515	110793	103922
516	111006	103706
517	111246	103515
518	111442	103283
519	111663	103074
520	111850	102833
521	112044	102599
522	112272	102397
523	112527	102219
524	112723	101987
525	112912	101749
526	113127	101536
527	113347	101325
528	113522	101075
529	113712	100839
530	113924	100622
531	114124	100395
532	114326	100169
533	114531	99946
534	114723	99713
535	114923	99486
536	115139	99272
537	115333	99040
538	115561	98838
539	115741	98594
540	115945	98371
541	116139	98139
542	116319	97897
543	116514	97666
544	116731	97454
545	116932	97229
546	117128	97000
547	117303	96753
548	117494	96520
549	117722	96318
550	117925	96095
551	118127	95871
552	118308	95631
553	118525	95419
554	118734	95201
555	118926	94970
556	119117	94738
557	119325	94519
558	119528	94296
559	119774	94108
560	119969	93879
561	120171	93656
562	120381	93440
563	120598	93228
564	120804	93008
